name  lamvac  lamair   foverha
#
#hydrogen
# Hα
HI_6563      6564.61      6562.80    1 
HI_4861      4862.683     4861.325   0.3 
HI_4341      4341.684     4340.463   0.1 
# Hδ
HI_4102      4102.892     4101.735   0.05  
HI_3970      3971.195     3970.072   0.02 
#
HI_8545      8547.730     8545.383   0.003      
HI_8598      8600.754     8598.392   0.004      
HI_8665      8667.398     8665.018   0.005      
HI_8750      8752.875     8750.472   0.006      
# Pa 10
HI_8862      8865.217     8862.783   0.08   
HI_9014      9017.385     9014.910   0.01  
HI_9229      9231.547     9229.015   0.02  
#
# oxygen
OIII_4363    4364.436     4363.209     0.005 
OIII_5007    5008.240     5006.843     1.    
OIII_4959    4960.295     4958.911     0.3   
#                         
OII_3726     3727.092     3726.032     0.5   
OII_3729     3729.875     3728.815     0.5   
OII_7319     7322.01      7319.990     0.01
OII_7330     7332.75      7330.730     0.01
#                         
OI_6300      6302.046     6300.304     0.05  
OI_6365      6365.536     6363.776     0.05  
OI_7256      7256.447     7254.448     0.05
OI_8448      8448.680     8446.359     0.05
#
# sulfur
SIII_9068    9071.1       9068.6       0.05
SIII_9531    9533.2       9530.6       0.05
SIII_6312    6313.8       6312.1       0.01
#
SII_6717     6718.29      6716.44      0.2  
SII_6731     6732.67      6730.82      0.2  
#
# nitrogen
NII_6548     6549.85      6548.04      0.03  
NII_6584     6585.28      6583.46      0.1   
NII_5755     5756.240     5754.64      0.001 
#
# helium 
HeI_3888     3889.7508332 3888.6489095 0.01
HeI_5876     5877.5948286 5875.966263  0.05   
HeI_6678     6679.99559   6678.15170   0.01
HeI_7065     7067.12521   7065.17714   0.01
HeI_7281     7283.35706   7281.350743  0.01
#
HeII_4686    4687.02      4685.71      0.01
#
# neon                  
NeIII_3869   3870.16      3869.07      0.02 
#
# Iron
FeIII_4658   4659.470     4658.166     0.01
#
FeII_4923    4925.2958    4923.9212    0.01
#
# Argon
ArIV_4711    4712.69      4711.37      0.01
ArIV_4740    4741.49      4740.17      0.01
#
ArIII_7135   7137.8       7135.79      0.01
ArIII_7751   7753.2       7751.060     0.01
#
